Date,Open,High,Low,Close,Volume
30/12/2022,76200,76900,76000,76900,628600
29/12/2022,76500,77000,76200,76200,655300
28/12/2022,77000,77000,76000,76700,589200
27/12/2022,76400,77500,76000,76500,805200
26/12/2022,77700,78100,76400,76400,832500
23/12/2022,76400,78000,76200,78000,1220000
22/12/2022,77200,77500,76000,77200,657800
21/12/2022,77200,77400,75700,77200,544100
20/12/2022,77200,77200,75400,76600,785800
19/12/2022,78300,78300,76600,76600,1030000
16/12/2022,77000,78000,76400,77900,910900
15/12/2022,76400,78100,76400,77700,1170000
14/12/2022,77200,77500,76100,76300,1160000
13/12/2022,76200,77300,75200,77200,899700
12/12/2022,77600,78200,76400,77000,1210000
9/12/2022,76300,78000,76200,78000,987500
8/12/2022,76900,78800,75600,77000,1270000
7/12/2022,75900,76600,74800,76500,1030000
6/12/2022,78300,78900,76000,76000,1540000
5/12/2022,78000,79000,77400,78300,1220000
2/12/2022,74700,77700,74000,77400,2900000
1/12/2022,75100,75800,74100,74700,1780000
30/11/2022,74500,74900,73500,74600,911500
29/11/2022,74900,74900,73000,74300,1140000
28/11/2022,72400,74500,72300,74300,1150000
25/11/2022,70600,72000,70500,72000,1270000
24/11/2022,69800,71000,69400,70500,788400
23/11/2022,70000,71000,69700,70500,465900
22/11/2022,70000,72000,69100,70500,1180000
21/11/2022,69500,71800,69500,70100,840500
18/11/2022,70100,72000,69200,71500,1260000
17/11/2022,69300,72000,64500,71000,1550000
16/11/2022,61300,70000,61300,69300,3050000
15/11/2022,70000,70000,65900,65900,3110000
14/11/2022,72000,72400,70000,70800,1640000
11/11/2022,73100,73600,72000,72800,1000000
10/11/2022,73500,73700,69100,73000,1600000
9/11/2022,73300,74300,73300,74000,697700
8/11/2022,71500,73900,71400,73300,945000
7/11/2022,72600,74000,72600,72600,1570000
4/11/2022,74000,74000,71500,72900,1650000
3/11/2022,74500,75700,73700,74100,622400
2/11/2022,75200,76000,74000,74000,978200
1/11/2022,76300,76800,75000,75500,561500
31/10/2022,75000,76000,73700,75600,1080000
28/10/2022,76300,76300,74700,75000,875800
27/10/2022,74100,76200,73700,75800,935900
26/10/2022,74500,74500,72700,73800,625100
25/10/2022,71400,74500,71100,73200,1560000
24/10/2022,73900,74500,71000,71100,1430000
21/10/2022,77700,77700,73900,73900,1560000
20/10/2022,75800,78500,75300,77800,1730000
19/10/2022,74900,76200,74700,75500,1020000
18/10/2022,74000,75300,74000,74900,879000
17/10/2022,73500,73900,72600,73800,707400
14/10/2022,74400,74500,73600,74000,844200
13/10/2022,72200,73000,71500,73000,829200
12/10/2022,71000,73300,71000,72400,1460000
11/10/2022,74000,74000,71000,71000,1590000
10/10/2022,73500,75500,72100,74000,1630000
7/10/2022,76200,76200,74000,74000,2060000
6/10/2022,78900,78900,76500,76500,1270000
5/10/2022,79000,79500,78400,78400,971900
4/10/2022,78000,79000,77200,77500,2040000
3/10/2022,79600,80300,76400,77000,1250000
30/09/2022,77000,80800,76900,80500,2110000
29/09/2022,79800,80100,77000,77000,1300000
28/09/2022,80100,80400,78000,78000,2050000
27/09/2022,82000,82000,80500,80500,932900
26/09/2022,81500,82000,80300,81500,1860000
23/09/2022,83100,83100,82100,82400,840600
22/09/2022,82000,83000,81900,82900,1170000
21/09/2022,83300,83300,82300,82300,775400
20/09/2022,83100,83800,82300,83400,575000
19/09/2022,82500,83600,81900,83100,1780000
16/09/2022,83700,83900,82500,82500,1360000
15/09/2022,84500,84500,83700,83700,780500
14/09/2022,83500,84500,83500,84000,1310000
13/09/2022,85000,85300,84300,84600,1050000
12/9/2022,85100,85200,84300,84600,716000
9/9/2022,84600,85000,84300,84300,1150000
