Date,Open,High,Low,Close,Volume
30/12/2022,"76,200.00","76,900.00","76,000.00","76,900.00",628600
29/12/2022,"76,500.00","77,000.00","76,200.00","76,200.00",655300
28/12/2022,"77,000.00","77,000.00","76,000.00","76,700.00",589200
27/12/2022,"76,400.00","77,500.00","76,000.00","76,500.00",805200
26/12/2022,"77,700.00","78,100.00","76,400.00","76,400.00",832500
23/12/2022,"76,400.00","78,000.00","76,200.00","78,000.00",1220000
22/12/2022,"77,200.00","77,500.00","76,000.00","77,200.00",657800
21/12/2022,"77,200.00","77,400.00","75,700.00","77,200.00",544100
20/12/2022,"77,200.00","77,200.00","75,400.00","76,600.00",785800
19/12/2022,"78,300.00","78,300.00","76,600.00","76,600.00",1030000
16/12/2022,"77,000.00","78,000.00","76,400.00","77,900.00",910900
15/12/2022,"76,400.00","78,100.00","76,400.00","77,700.00",1170000
14/12/2022,"77,200.00","77,500.00","76,100.00","76,300.00",1160000
13/12/2022,"76,200.00","77,300.00","75,200.00","77,200.00",899700
12/12/2022,"77,600.00","78,200.00","76,400.00","77,000.00",1210000
9/12/2022,"76,300.00","78,000.00","76,200.00","78,000.00",987500
8/12/2022,"76,900.00","78,800.00","75,600.00","77,000.00",1270000
7/12/2022,"75,900.00","76,600.00","74,800.00","76,500.00",1030000
6/12/2022,"78,300.00","78,900.00","76,000.00","76,000.00",1540000
5/12/2022,"78,000.00","79,000.00","77,400.00","78,300.00",1220000
2/12/2022,"74,700.00","77,700.00","74,000.00","77,400.00",2900000
1/12/2022,"75,100.00","75,800.00","74,100.00","74,700.00",1780000
30/11/2022,"74,500.00","74,900.00","73,500.00","74,600.00",911500
29/11/2022,"74,900.00","74,900.00","73,000.00","74,300.00",1140000
28/11/2022,"72,400.00","74,500.00","72,300.00","74,300.00",1150000
25/11/2022,"70,600.00","72,000.00","70,500.00","72,000.00",1270000
24/11/2022,"69,800.00","71,000.00","69,400.00","70,500.00",788400
23/11/2022,"70,000.00","71,000.00","69,700.00","70,500.00",465900
22/11/2022,"70,000.00","72,000.00","69,100.00","70,500.00",1180000
21/11/2022,"69,500.00","71,800.00","69,500.00","70,100.00",840500
18/11/2022,"70,100.00","72,000.00","69,200.00","71,500.00",1260000
17/11/2022,"69,300.00","72,000.00","64,500.00","71,000.00",1550000
