Date,Open,High,Low,Close,Volume
2022-12-30,76200,76900.00,76000,76900,628600
2022-12-29,76500,77000.00,76200,76200,655300
2022-12-28,77000,77000.00,76000,76700,589200
2022-12-27,76400,77500.00,76000,76500,805200
2022-12-26,77700,78100.00,76400,76400,832500
2022-12-23,76400,78000.00,76200,78000,1220000
2022-12-22,77200,77500.00,76000,77200,657800
2022-12-21,77200,77400.00,75700,77200,544100
2022-12-20,77200,77200.00,75400,76600,785800
2022-12-19,78300,78300.00,76600,76600,1030000
2022-12-16,77000,78000.00,76400,77900,910900
2022-12-15,76400,78100.00,76400,77700,1170000
2022-12-14,77200,77500.00,76100,76300,1160000
2022-12-13,76200,77300.00,75200,77200,899700
2022-12-12,77600,78200.00,76400,77000,1210000
2022-12-09,76300,78000.00,76200,78000,987500
2022-12-08,76900,78800.00,75600,77000,1270000
2022-12-07,75900,76600.00,74800,76500,1030000
2022-12-06,78300,78900.00,76000,76000,1540000
2022-12-05,78000,79000.00,77400,78300,1220000
2022-12-02,74700,77700.00,74000,77400,2900000
2022-12-01,75100,75800.00,74100,74700,1780000
2022-11-30,74500,74900.00,73500,74600,911500
2022-11-29,74900,74900.00,73000,74300,1140000
2022-11-28,72400,74500.00,72300,74300,1150000
2022-11-25,70600,72000.00,70500,72000,1270000
2022-11-24,69800,71000.00,69400,70500,788400
2022-11-23,70000,71000.00,69700,70500,465900
2022-11-22,70000,72000.00,69100,70500,1180000
2022-11-21,69500,71800.00,69500,70100,840500
2022-11-18,70100,72000.00,69200,71500,1260000
2022-11-17,69300,72000.00,64500,71000,1550000
2022-11-16,61300,70000.00,61300,69300,3050000
2022-11-15,70000,70000.00,65900,65900,3110000
2022-11-14,72000,72400.00,70000,70800,1640000
2022-11-11,73100,73600.00,72000,72800,1000000
2022-11-10,73500,73700.00,69100,73000,1600000
2022-11-09,73300,74300.00,73300,74000,697700
2022-11-08,71500,73900.00,71400,73300,945000
2022-11-07,72600,74000.00,72600,72600,1570000
2022-11-04,74000,74000.00,71500,72900,1650000
2022-11-03,74500,75700.00,73700,74100,622400
2022-11-02,75200,76000.00,74000,74000,978200
2022-11-01,76300,76800.00,75000,75500,561500
2022-10-31,75000,76000.00,73700,75600,1080000
2022-10-28,76300,76300.00,74700,75000,875800
2022-10-27,74100,76200.00,73700,75800,935900
2022-10-26,74500,74500.00,72700,73800,625100
2022-10-25,71400,74500.00,71100,73200,1560000
2022-10-24,73900,74500.00,71000,71100,1430000
2022-10-21,77700,77700.00,73900,73900,1560000
2022-10-20,75800,78500.00,75300,77800,1730000
2022-10-19,74900,76200.00,74700,75500,1020000
2022-10-18,74000,75300.00,74000,74900,879000
2022-10-17,73500,73900.00,72600,73800,707400
2022-10-14,74400,74500.00,73600,74000,844200
2022-10-13,72200,73000.00,71500,73000,829200
2022-10-12,71000,73300.00,71000,72400,1460000
2022-10-11,74000,74000.00,71000,71000,1590000
2022-10-10,73500,75500.00,72100,74000,1630000
2022-10-07,76200,76200.00,74000,74000,2060000
2022-10-06,78900,78900.00,76500,76500,1270000
2022-10-05,79000,79500.00,78400,78400,971900
2022-10-04,78000,79000.00,77200,77500,2040000
2022-10-03,79600,80300.00,76400,77000,1250000
2022-09-30,77000,80800.00,76900,80500,2110000
2022-09-29,79800,80100.00,77000,77000,1300000
2022-09-28,80100,80400.00,78000,78000,2050000
2022-09-27,82000,82000.00,80500,80500,932900
2022-09-26,81500,82000.00,80300,81500,1860000
2022-09-23,83100,83100.00,82100,82400,840600
2022-09-22,82000,83000.00,81900,82900,1170000
2022-09-21,83300,83300.00,82300,82300,775400
2022-09-20,83100,83800.00,82300,83400,575000
2022-09-19,82500,83600.00,81900,83100,1780000
2022-09-16,83700,83900.00,82500,82500,1360000
2022-09-15,84500,84500.00,83700,83700,780500
2022-09-14,83500,84500.00,83500,84000,1310000
2022-09-13,85000,85300.00,84300,84600,1050000
2022-09-12,85100,85200.00,84300,84600,716000
2022-09-09,84600,85000.00,84300,84300,1150000
2022-09-08,84100,85000.00,83800,84300,1140000
2022-09-07,85500,85900.00,84000,84000,2240000
2022-09-06,86000,86400.00,85800,85800,1170000
2022-09-05,86500,86700.00,85900,86200,1020000
2022-08-31,85800,87000.00,85800,86600,1170000
2022-08-30,86500,87000.00,86000,86400,1150000
2022-08-29,87000,87000.00,84700,86500,2230000
2022-08-26,86400,87800.00,86300,87200,1940000
2022-08-25,86200,86700.00,86000,86300,1140000
2022-08-24,86500,86800.00,86100,86200,1010000
2022-08-23,85110,86000.00,85110,86000,1090000
2022-08-22,85605,86297.00,84913,85802,1630000
2022-08-19,86989,87483.00,85209,85901,1960000
2022-08-18,86890,88669.00,86890,87285,2550000
2022-08-17,87977,88076.00,86989,87285,1510000
2022-08-16,87878,88372.00,87087,87680,1380000
2022-08-15,85605,88076.00,85605,87878,3090000
2022-08-12,84715,85506.00,84715,85506,1240000
2022-08-11,85209,85802.00,84715,85012,1850000
2022-08-10,85308,85703.00,85012,85012,1120000
2022-08-09,85012,86494.00,84715,85209,2320000
2022-08-08,84913,85407.00,84320,85012,1590000
2022-08-05,85110,86198.00,84616,84814,1770000
2022-08-04,84122,85605.00,83924,85110,3050000
2022-08-03,84023,84221.00,83232,83825,2250000
2022-08-02,83035,84122.00,82540,84023,1880000
2022-08-01,83035,83232.00,82145,83035,1820000
2022-07-29,84122,84221.00,82540,82540,1940000
2022-07-28,84221,84814.00,82145,83924,1660000
2022-07-27,83628,84221.00,83430,84221,771100
2022-07-26,85011.5,85011.5,83825.3,83825.3,1130000
2022-07-25,86000,86000.00,84121.9,84418.4,2250000
2022-07-22,85406.9,85505.8,84121.9,84121.9,1310000
2022-07-21,84912.7,84912.7,83528.8,84023,1800000
2022-07-20,84023,84912.7,83034.5,83924.2,2850000
2022-07-19,81947.1,82046.00,81255.2,82046,1190000
2022-07-18,81848.3,83528.8,81354,82046,1260000
2022-07-15,83034.5,83034.5,81255.2,81255.2,1380000
2022-07-14,81848.3,82540.3,81255.2,81848.3,891300
2022-07-13,83034.5,83034.5,81551.7,81551.7,1140000
2022-07-12,81848.3,82540.3,81749,82540.3,602800
2022-07-11,83627.6,83627.6,81848.3,81848.3,998100
2022-07-08,82935.7,83034.5,82144.8,82639.1,910400
2022-07-07,82935.7,83627.6,82144.8,82144.8,1290000
2022-07-06,83133.4,84912.7,82540.3,82540.3,2230000
2022-07-05,86790.8,86790.8,84418.4,84418.4,1400000
2022-07-04,87482.8,87482.8,85011.5,85703.5,1010000
2022-07-01,86000,87779.3,83825.3,86988.5,1700000
2022-06-30,88471.3,88866.7,85209.2,85209.2,1510000
2022-06-29,87878.2,88965.5,87186.2,88965.5,1180000
2022-06-28,88471.3,89163.2,86197.7,88669,2300000
2022-06-27,85406.9,86889.7,84912.7,85505.8,1250000
2022-06-24,85110.4,86790.8,84517.3,84517.3,902400
2022-06-23,83034.5,85802.3,82738,84517.3,2020000
2022-06-22,88767.8,89360.9,83429.9,83528.8,2970000
2022-06-21,91338,92425.3,87977,88075.9,2460000
2022-06-20,92425.3,93413.8,90250.6,90942.6,2480000
2022-06-17,89262.1,91535.7,87977,90942.6,2320000
2022-06-16,89954,92721.9,89163.2,90942.6,2520000
2022-06-15,89558.6,89558.6,86988.5,89459.8,1760000
2022-06-14,85011.5,88866.7,84517.3,88075.9,2310000
2022-06-13,86988.5,89756.3,85011.5,85209.2,3390000
2022-06-10,93413.8,94484.7,90613,90613,3570000
2022-06-09,95143.7,95473.2,93331.4,94978.9,2050000
2022-06-08,95802.7,96873.5,94319.9,94731.8,3190000
2022-06-07,92837.2,95226.00,89459.8,95226,4690000
2022-06-06,93908,95555.5,92260.5,93084.3,3070000
2022-06-03,91848.6,93908.00,91354.4,93908,2110000
2022-06-02,92919.5,94567.00,91519.1,91848.6,2750000
2022-06-01,90530.6,93001.9,90448.3,92095.8,2440000
2022-05-31,91683.9,91683.9,88553.6,90530.6,2590000
2022-05-30,91519.1,92590.00,89954,91683.9,3000000
2022-05-27,86988.5,92260.5,86906.1,92095.8,4650000
2022-05-26,86659,88224.1,86164.7,86988.5,1710000
2022-05-25,81963.6,86494.2,81304.6,86494.2,4520000
2022-05-24,79492.3,80892.7,79080.4,80892.7,1660000
2022-05-23,80892.7,80892.7,79162.8,79492.3,1360000
2022-05-20,80480.8,81469.3,79904.2,80316.1,1690000
2022-05-19,78339.1,80480.8,78339.1,79904.2,1470000
2022-05-18,82128.3,82457.8,80316.1,80480.8,2320000
2022-05-17,76609.2,82128.3,76197.3,82128.3,2450000
2022-05-16,80316.1,80316.1,76773.9,76773.9,2090000
2022-05-13,79162.8,81551.7,76691.6,77103.4,4920000
2022-05-12,81798.8,83940.6,78256.7,78750.9,3110000
2022-05-11,80728,83940.6,79739.5,83940.6,2000000
2022-05-10,77432.9,81387.00,75785.4,81057.5,3380000
2022-05-09,80975.1,81551.7,77432.9,77432.9,5400000
2022-05-06,84270.1,85670.5,82540.2,82540.2,2920000
2022-05-05,86164.7,86906.1,83940.6,86247.1,2630000
2022-05-04,86411.9,87235.6,85752.9,86082.4,1920000
2022-04-29,86494.2,88224.1,85835.2,86494.2,4790000
2022-04-28,84764.4,87977.00,84434.9,86906.1,3040000
2022-04-27,84434.9,85670.5,82787.3,84846.7,3040000
2022-04-26,82540.2,86494.2,79904.2,85917.6,6520000
2022-04-25,90695.4,91354.4,85176.2,85176.2,5530000
2022-04-22,92672.4,93825.7,87318,91519.1,6850000
2022-04-21,91601.5,95473.2,91601.5,92260.5,4880000
2022-04-20,92260.5,93084.3,90283.5,92260.5,3950000
2022-04-19,95967.4,96379.3,92260.5,92260.5,5680000
2022-04-18,94731.8,97697.3,93908,95143.7,4030000
2022-04-15,94814.2,97120.7,93908,94731.8,3750000
2022-04-14,94896.5,97944.4,94896.5,96049.8,4240000
2022-04-13,90613,94814.2,90448.3,94814.2,3990000
2022-04-12,89789.3,91848.6,87812.2,90448.3,3790000
2022-04-08,93331.4,93825.7,89377.4,89377.4,4880000
2022-04-07,93660.9,96296.9,92342.9,93331.4,4700000
2022-04-06,89295,93908.00,89295,93084.3,5010000
2022-04-05,89871.6,91931.00,89789.3,89789.3,2240000
2022-04-04,93496.2,93496.2,90036.4,90036.4,3230000
2022-04-01,88059.4,91436.8,87400.4,91436.8,5180000
2022-03-31,86906.1,91107.3,86164.7,88141.7,4170000
2022-03-30,87153.2,88388.9,86082.4,87318,3400000
2022-03-29,81222.2,86411.9,81222.2,86411.9,9870000
2022-03-28,78668.6,81304.6,78421.4,80810.3,4200000
2022-03-25,79162.8,79492.3,78750.9,78833.3,1470000
2022-03-24,79080.4,80069.00,78503.8,79080.4,2190000
2022-03-23,79492.3,80316.1,79080.4,79492.3,2370000
2022-03-22,79080.4,79904.2,78586.2,79410,2500000
2022-03-21,78421.4,79080.4,78256.7,78503.8,1870000
2022-03-18,76609.2,79574.7,76609.2,78339.1,3380000
2022-03-17,75620.7,76362.1,75373.6,75785.4,1420000
2022-03-16,75044.1,76032.6,74549.8,75455.9,1370000
2022-03-15,75620.7,75620.7,73973.2,74961.7,2250000
2022-03-14,76609.2,76609.2,74549.8,75620.7,2330000
2022-03-11,77844.8,77927.2,76362.1,76773.9,1370000
2022-03-10,79327.6,79327.6,77927.2,77927.2,934440
2022-03-09,77927.2,79492.3,77927.2,78668.6,2640000
2022-03-08,77268.2,78586.2,76279.7,78091.9,2670000
2022-03-07,76691.6,77350.6,75950.2,77268.2,2040000
2022-03-04,76856.3,77268.2,76609.2,77021.1,1610000
2022-03-03,76773.9,77432.9,76773.9,76938.7,1150000
2022-03-02,76609.2,76938.7,76362.1,76691.6,1310000
2022-03-01,77432.9,77432.9,76197.3,76938.7,1320000
2022-02-28,76032.6,77021.1,76032.6,76856.3,1810000
2022-02-25,76114.9,76938.7,75867.8,76032.6,1270000
2022-02-24,76609.2,77021.1,74137.9,75785.4,1620000
2022-02-23,76279.7,77350.6,76279.7,76609.2,1170000
2022-02-22,76609.2,76856.3,75785.4,76526.8,1390000
2022-02-21,75950.2,77432.9,75785.4,77021.1,1660000
2022-02-18,76032.6,76197.3,75538.3,75950.2,742560
2022-02-17,75703.1,76444.4,74961.7,76444.4,1020000
