Ngày,Open,High,Low,Close,Volume,
30/12/2022,"76,200.00","76,900.00","76,000.00","76,900.00",628.60K,
29/12/2022,"76,500.00","77,000.00","76,200.00","76,200.00",655.30K,
28/12/2022,"77,000.00","77,000.00","76,000.00","76,700.00",589.20K,
27/12/2022,"76,400.00","77,500.00","76,000.00","76,500.00",805.20K,
26/12/2022,"77,700.00","78,100.00","76,400.00","76,400.00",832.50K,
23/12/2022,"76,400.00","78,000.00","76,200.00","78,000.00",1.22M,
22/12/2022,"77,200.00","77,500.00","76,000.00","77,200.00",657.80K,
21/12/2022,"77,200.00","77,400.00","75,700.00","77,200.00",544.10K,
20/12/2022,"77,200.00","77,200.00","75,400.00","76,600.00",785.80K,
19/12/2022,"78,300.00","78,300.00","76,600.00","76,600.00",1.03M,
16/12/2022,"77,000.00","78,000.00","76,400.00","77,900.00",910.90K,
15/12/2022,"76,400.00","78,100.00","76,400.00","77,700.00",1.17M,
14/12/2022,"77,200.00","77,500.00","76,100.00","76,300.00",1.16M,
13/12/2022,"76,200.00","77,300.00","75,200.00","77,200.00",899.70K,
12/12/2022,"77,600.00","78,200.00","76,400.00","77,000.00",1.21M,
9/12/2022,"76,300.00","78,000.00","76,200.00","78,000.00",987.50K,
8/12/2022,"76,900.00","78,800.00","75,600.00","77,000.00",1.27M,
7/12/2022,"75,900.00","76,600.00","74,800.00","76,500.00",1.03M,
6/12/2022,"78,300.00","78,900.00","76,000.00","76,000.00",1.54M,
5/12/2022,"78,000.00","79,000.00","77,400.00","78,300.00",1.22M,
2/12/2022,"74,700.00","77,700.00","74,000.00","77,400.00",2.90M,
1/12/2022,"75,100.00","75,800.00","74,100.00","74,700.00",1.78M,
30/11/2022,"74,500.00","74,900.00","73,500.00","74,600.00",911.50K,
29/11/2022,"74,900.00","74,900.00","73,000.00","74,300.00",1.14M,
28/11/2022,"72,400.00","74,500.00","72,300.00","74,300.00",1.15M,
25/11/2022,"70,600.00","72,000.00","70,500.00","72,000.00",1.27M,
24/11/2022,"69,800.00","71,000.00","69,400.00","70,500.00",788.40K,
23/11/2022,"70,000.00","71,000.00","69,700.00","70,500.00",465.90K,
22/11/2022,"70,000.00","72,000.00","69,100.00","70,500.00",1.18M,
21/11/2022,"69,500.00","71,800.00","69,500.00","70,100.00",840.50K,
18/11/2022,"70,100.00","72,000.00","69,200.00","71,500.00",1.26M,
17/11/2022,"69,300.00","72,000.00","64,500.00","71,000.00",1.55M,
16/11/2022,"61,300.00","70,000.00","61,300.00","69,300.00",3.05M,
15/11/2022,"70,000.00","70,000.00","65,900.00","65,900.00",3.11M,
14/11/2022,"72,000.00","72,400.00","70,000.00","70,800.00",1.64M,
11/11/2022,"73,100.00","73,600.00","72,000.00","72,800.00",1.00M,
10/11/2022,"73,500.00","73,700.00","69,100.00","73,000.00",1.60M,
9/11/2022,"73,300.00","74,300.00","73,300.00","74,000.00",697.70K,
8/11/2022,"71,500.00","73,900.00","71,400.00","73,300.00",945.00K,
7/11/2022,"72,600.00","74,000.00","72,600.00","72,600.00",1.57M,
4/11/2022,"74,000.00","74,000.00","71,500.00","72,900.00",1.65M,
3/11/2022,"74,500.00","75,700.00","73,700.00","74,100.00",622.40K,
2/11/2022,"75,200.00","76,000.00","74,000.00","74,000.00",978.20K,
1/11/2022,"76,300.00","76,800.00","75,000.00","75,500.00",561.50K,
31/10/2022,"75,000.00","76,000.00","73,700.00","75,600.00",1.08M,
28/10/2022,"76,300.00","76,300.00","74,700.00","75,000.00",875.80K,
27/10/2022,"74,100.00","76,200.00","73,700.00","75,800.00",935.90K,
26/10/2022,"74,500.00","74,500.00","72,700.00","73,800.00",625.10K,
25/10/2022,"71,400.00","74,500.00","71,100.00","73,200.00",1.56M,
24/10/2022,"73,900.00","74,500.00","71,000.00","71,100.00",1.43M,
21/10/2022,"77,700.00","77,700.00","73,900.00","73,900.00",1.56M,
20/10/2022,"75,800.00","78,500.00","75,300.00","77,800.00",1.73M,
19/10/2022,"74,900.00","76,200.00","74,700.00","75,500.00",1.02M,
18/10/2022,"74,000.00","75,300.00","74,000.00","74,900.00",879.00K,
17/10/2022,"73,500.00","73,900.00","72,600.00","73,800.00",707.40K,
14/10/2022,"74,400.00","74,500.00","73,600.00","74,000.00",844.20K,
13/10/2022,"72,200.00","73,000.00","71,500.00","73,000.00",829.20K,
12/10/2022,"71,000.00","73,300.00","71,000.00","72,400.00",1.46M,
11/10/2022,"74,000.00","74,000.00","71,000.00","71,000.00",1.59M,
10/10/2022,"73,500.00","75,500.00","72,100.00","74,000.00",1.63M,
7/10/2022,"76,200.00","76,200.00","74,000.00","74,000.00",2.06M,
6/10/2022,"78,900.00","78,900.00","76,500.00","76,500.00",1.27M,
5/10/2022,"79,000.00","79,500.00","78,400.00","78,400.00",971.90K,
4/10/2022,"78,000.00","79,000.00","77,200.00","77,500.00",2.04M,
3/10/2022,"79,600.00","80,300.00","76,400.00","77,000.00",1.25M,
30/09/2022,"77,000.00","80,800.00","76,900.00","80,500.00",2.11M,
29/09/2022,"79,800.00","80,100.00","77,000.00","77,000.00",1.30M,
28/09/2022,"80,100.00","80,400.00","78,000.00","78,000.00",2.05M,
27/09/2022,"82,000.00","82,000.00","80,500.00","80,500.00",932.90K,
26/09/2022,"81,500.00","82,000.00","80,300.00","81,500.00",1.86M,
23/09/2022,"83,100.00","83,100.00","82,100.00","82,400.00",840.60K,
22/09/2022,"82,000.00","83,000.00","81,900.00","82,900.00",1.17M,
21/09/2022,"83,300.00","83,300.00","82,300.00","82,300.00",775.40K,
20/09/2022,"83,100.00","83,800.00","82,300.00","83,400.00",575.00K,
19/09/2022,"82,500.00","83,600.00","81,900.00","83,100.00",1.78M,
16/09/2022,"83,700.00","83,900.00","82,500.00","82,500.00",1.36M,
15/09/2022,"84,500.00","84,500.00","83,700.00","83,700.00",780.50K,
14/09/2022,"83,500.00","84,500.00","83,500.00","84,000.00",1.31M,
13/09/2022,"85,000.00","85,300.00","84,300.00","84,600.00",1.05M,
12/9/2022,"85,100.00","85,200.00","84,300.00","84,600.00",716.00K,
9/9/2022,"84,600.00","85,000.00","84,300.00","84,300.00",1.15M,
8/9/2022,"84,100.00","85,000.00","83,800.00","84,300.00",1.14M,
7/9/2022,"85,500.00","85,900.00","84,000.00","84,000.00",2.24M,
6/9/2022,"86,000.00","86,400.00","85,800.00","85,800.00",1.17M,
5/9/2022,"86,500.00","86,700.00","85,900.00","86,200.00",1.02M,
31/08/2022,"85,800.00","87,000.00","85,800.00","86,600.00",1.17M,
30/08/2022,"86,500.00","87,000.00","86,000.00","86,400.00",1.15M,
29/08/2022,"87,000.00","87,000.00","84,700.00","86,500.00",2.23M,
26/08/2022,"86,400.00","87,800.00","86,300.00","87,200.00",1.94M,
25/08/2022,"86,200.00","86,700.00","86,000.00","86,300.00",1.14M,
24/08/2022,"86,500.00","86,800.00","86,100.00","86,200.00",1.01M,
23/08/2022,"85,110.00","86,000.00","85,110.00","86,000.00",1.09M,
